Age,Attrition,BusinessTravel,Department,DistanceFromHome,EngagementScore,TimeSinceLastPromotion,JobSatisfaction,OvertimeHours,BurnoutRisk,CommuteTime,FlexibleWorkEligibility,SkillDemandScore,DiversityIndex,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,PolicySatisfactionScore,ManagerExperienceLevel,IndustryGrowthRate,RegionalUnemploymentRate,VoluntaryOvertimeHours,MandatoryOvertimeHours,TeamDiversityScore,GenderDiversityRatio,SalaryPercentile,AttritionRiskIndex,TotalBenefits,AttritionRiskScore,RetentionRisk
50,Yes,Travel_Frequently,Human Resources,2,31,8,2,22,88,59,No,4,0.575800322,2,Technical Degree,1,4,Female,3,3,Data Scientist,Divorced,13422,2,Yes,24,4,3,0,38,1,4,14,8,5,1,4,4.525799452,5.800816936,0,18,0.638133443,0.573298232,High,22.39293432,37422,13.77874803,Low
36,Yes,Travel_Rarely,Research & Development,17,32,9,1,9,93,68,No,3,0.362315026,1,Human Resources,2,2,Female,2,2,Laboratory Technician,Married,3580,2,Yes,13,2,2,1,34,0,2,10,5,2,2,2,4.398693681,5.747614559,8,13,0.366932308,0.50936901,Low,5.092211486,17080,4.739985969,Low
29,Yes,Travel_Rarely,Sales,8,,8,1,12,68,93,No,4,0.681222268,4,Technical Degree,3,1,Female,1,4,Sales Executive,Married,8258,5,Yes,24,1,1,0,16,1,4,7,9,2,4,2,2.083332649,4.873755419,9,13,0.651323214,0.430298231,Medium,14.91805901,32258,16.40618322,Low
42,Yes,Travel_Rarely,Sales,22,39,9,2,10,92,22,No,1,0.610515787,2,Business,4,3,Female,1,2,Research Scientist,Divorced,2068,9,Yes,15,1,3,2,5,3,1,11,0,0,3,2,4.572751423,9.059061085,7,18,0.489112752,0.538939868,Low,26.04714152,18068,27.38922913,Low
40,No,Travel_Rarely,Sales,29,34,4,2,26,33,28,No,3,0.461710318,3,Business,5,1,Male,3,4,Product Manager,Single,17282,7,Yes,22,3,1,2,28,0,3,9,3,10,3,1,3.738035103,3.97190395,3,4,0.451214982,0.598198833,Very High,33.96518578,40282,21.07555995,Low
44,No,Travel_Rarely,Sales,9,96,5,2,22,57,117,No,1,0.36586152,2,Life Sciences,6,4,Male,3,4,Laboratory Technician,Divorced,12598,6,Yes,19,2,3,1,34,4,4,18,5,5,1,4,1.796427511,8.047088088,2,0,0.32368156,0.593417811,High,3.493060708,32098,3.378055804,Low
32,No,Travel_Rarely,Sales,21,44,8,1,18,72,88,No,2,0.313888959,4,Life Sciences,7,2,Male,1,1,Research Scientist,Married,18917,6,Yes,21,2,2,1,28,2,2,0,7,11,4,1,4.124440212,9.491013595,1,14,0.284332043,0.54246128,Very High,4.488325671,40417,6.601213392,Low
32,Yes,Non-Travel,Sales,8,31,3,1,0,89,47,Yes,4,0.904543519,4,Other,8,1,Female,2,1,Marketing Manager,Single,8691,9,No,24,4,3,2,29,2,2,7,6,0,2,2,4.425698269,3.897155223,2,2,0.803984837,0.417989718,Medium,14.77706046,33691,14.37756462,Low
45,No,Travel_Frequently,Finance,23,31,3,1,20,72,36,Yes,1,0.951299457,2,Marketing,9,4,Female,3,4,Data Scientist,Divorced,7879,4,Yes,12,4,1,3,8,4,4,9,2,0,4,4,3.258691085,9.483153964,4,1,1.031310979,0.572158384,Medium,35.28245674,21379,28.94335336,Low
57,Yes,Travel_Rarely,Sales,11,34,8,1,25,75,115,Yes,4,0.855145444,1,Human Resources,10,4,Female,4,3,Laboratory Technician,Single,8220,1,Yes,13,4,1,3,27,3,4,10,7,6,3,2,4.547405522,3.366711399,2,7,0.756476833,0.477355715,Medium,13.4479354,22720,15.71900222,Low
